Model,ROI,nLayers,evalMode,sim_method,vibrField,Aus_way,kAus_1,kAus_2,kAus_con,Amp_1,Amp_2,Amp_3,Amp_4,Totaldps_1,Totaldps_2,dps_run_1,dps_run_2,Settings,SettingsStr,calcStrengthCurve,maxTime,fus,meanI,stdI,dpDistribution,dpOrientation,dpI_space,dpI_time
,,,,,,,,,,,,,,,,,,"",,,,,,,,,,
,,,,,,,,,,,,,,,,,,"",,,,,,,,,,
,,,,,,,,,,,,,,,,,,"",,,,,,,,,,
,,,,,,,,,,,,,,,,,,"",,,,,,,,,,
,,,,,,,,,,,,,,,,,,"",,,,,,,,,,
,,,,,,,,,,,,,,,,,,"",,,,,,,,,,
,,,,,,,,,,,,,,,,,,"",,,,,,,,,,
,,,,,,,,,,,,,,,,,,"",,,,,,,,,,
,,,,,,,,,,,,,,,,,,"",,,,,,,,,,
,,,,,,,,,,,,,,,,,,"",,,,,,,,,,
,,,,,,,,,,,,,,,,,,"",,,,,,,,,,
,,,,,,,,,,,,,,,,,,"",,,,,,,,,,
human_air,Deep,3,pcwica,single_sim_totaldps,none,kexp,568.800120565085,568.800120565085,Totaldps,1e-07,1e-06,1e-05,0.0001,10000,100000,20,20,"",Settingset: 13,1,86040,1000000,10,3,fibonaccimultiple,radial,normal,artificialPSD_fixed3
human_air,Deep,5,pcwica,single_sim_totaldps,none,kexp,850.554567045483,850.554567045483,Totaldps,1e-07,1e-06,1e-05,0.0001,10000,100000,20,20,"",Settingset: 14,1,86040,1000000,10,3,fibonaccimultiple,radial,normal,artificialPSD_fixed3
human_air,Deep,10,pcwica,single_sim_totaldps,none,kexp,1337.48060995284,1337.48060995284,Totaldps,1e-08,1e-07,1e-06,1e-05,10000,100000,20,20,"",Settingset: 15,1,86040,1000000,10,3,fibonaccimultiple,radial,normal,artificialPSD_fixed3
human_air,Cortex,3,pcwica,single_sim_totaldps,none,kexp,11246.826503807,11246.826503807,Totaldps,1e-09,1e-08,1e-07,1e-06,10000,100000,20,20,"",Settingset: 16,1,86040,1000000,10,3,fibonaccimultiple,radial,normal,artificialPSD_fixed3
human_air,Cortex,5,pcwica,single_sim_totaldps,none,kexp,20000,20000,Totaldps,1e-09,1e-08,1e-07,1e-06,10000,100000,20,20,"",Settingset: 17,1,86040,1000000,10,3,fibonaccimultiple,radial,normal,artificialPSD_fixed3
human_air,Cortex,10,pcwica,single_sim_totaldps,none,kexp,8433.93006857164,8433.93006857164,Totaldps,1e-09,1e-08,1e-07,1e-06,10000,100000,20,20,"",Settingset: 18,1,86040,1000000,10,3,fibonaccimultiple,radial,normal,artificialPSD_fixed3
