Model,ROI,nLayers,evalMode,sim_method,vibrField,Aus_way,kAus,kAus_con,Amp_1,Amp_2,Amp_3,Amp_4,Amp_5,Amp_6,Totaldps,dps_run,Settings,SettingsStr,calcStrengthCurve,maxTime,threshold,fus,meanI,stdI,dpDistribution,dpOrientation,dpI_space,dpI_time
human_scalp,Deep,3,hpc,single_sim_totaldps,art,kexp,465.145077429237,Totaldps,1e-09,1e-08,1e-07,1e-06,1e-05,0.0001,100000,40,"",Settingset: 1,1,86040,0.1,1000000,10,3,fibonaccimultiple,radial,normal,artificialPSD_fixed
,,,,,,,,,,,,,,,,,"",,,,,,,,,,,
,,,,,,,,,,,,,,,,,"",,,,,,,,,,,
human_scalp,Cortex,3,hpc,single_sim_totaldps,art,kexp,8433.93006857164,Totaldps,1e-09,1e-08,1e-07,1e-06,1e-05,0.0001,100000,40,"",Settingset: 4,1,86040,0.1,1000000,10,3,fibonaccimultiple,radial,normal,artificialPSD_fixed
,,,,,,,,,,,,,,,,,"",,,,,,,,,,,
,,,,,,,,,,,,,,,,,"",,,,,,,,,,,
human_cortical,Deep,3,hpc,single_sim_totaldps,art,kexp,514.368132879561,Totaldps,1e-09,1e-08,1e-07,1e-06,1e-05,0.0001,100000,40,"",Settingset: 7,1,86040,0.1,1000000,10,3,fibonaccimultiple,radial,normal,artificialPSD_fixed
,,,,,,,,,,,,,,,,,"",,,,,,,,,,,
,,,,,,,,,,,,,,,,,"",,,,,,,,,,,
human_cortical,Cortex,3,hpc,single_sim_totaldps,art,kexp,8433.93006857164,Totaldps,1e-09,1e-08,1e-07,1e-06,1e-05,0.0001,100000,40,"",Settingset: 10,1,86040,0.1,1000000,10,3,fibonaccimultiple,radial,normal,artificialPSD_fixed
,,,,,,,,,,,,,,,,,"",,,,,,,,,,,
,,,,,,,,,,,,,,,,,"",,,,,,,,,,,
human_air,Deep,3,hpc,single_sim_totaldps,art,kexp,514.368132879561,Totaldps,1e-09,1e-08,1e-07,1e-06,1e-05,0.0001,100000,40,"",Settingset: 13,1,86040,0.1,1000000,10,3,fibonaccimultiple,radial,normal,artificialPSD_fixed
,,,,,,,,,,,,,,,,,"",,,,,,,,,,,
,,,,,,,,,,,,,,,,,"",,,,,,,,,,,
human_air,Cortex,3,hpc,single_sim_totaldps,art,kexp,8433.93006857164,Totaldps,1e-09,1e-08,1e-07,1e-06,1e-05,0.0001,100000,40,"",Settingset: 16,1,86040,0.1,1000000,10,3,fibonaccimultiple,radial,normal,artificialPSD_fixed
,,,,,,,,,,,,,,,,,"",,,,,,,,,,,
,,,,,,,,,,,,,,,,,"",,,,,,,,,,,
mouse_fair0,Deep,3,hpc,single_sim_totaldps,art,kexp,8433.93006857164,Totaldps,1e-09,1e-08,1e-07,1e-06,1e-05,0.0001,100000,40,"",Settingset: 19,1,86040,0.1,1000000,10,3,fibonaccimultiple,radial,normal,artificialPSD_fixed
,,,,,,,,,,,,,,,,,"",,,,,,,,,,,
,,,,,,,,,,,,,,,,,"",,,,,,,,,,,
mouse_fair0,Cortex,3,hpc,single_sim_totaldps,art,kexp,200000,Totaldps,1e-09,1e-08,1e-07,1e-06,1e-05,0.0001,100000,40,"",Settingset: 22,1,86040,0.1,1000000,10,3,fibonaccimultiple,radial,normal,artificialPSD_fixed
